TimeID,Precipitationmm,Events,Conditions,WindDirDegrees
364,0,Normal,Overcast,280
365,0,Normal,Overcast,0
366,0,Normal,Overcast,280
367,0,Normal,Overcast,280
368,0,Normal,Overcast,240
369,0,Normal,Overcast,0
370,0,Normal,Clear,320
371,0,Normal,Mostly Cloudy,0
372,0,Normal,Overcast,130
373,0,Normal,Mostly Cloudy,0
374,0,Normal,Clear,120
375,0,Normal,Clear,0
376,0,Normal,Clear,0
377,0,Normal,Clear,40
378,0,Normal,Partly Cloudy,30
379,0,Normal,Overcast,30
380,0,Normal,Overcast,30
381,0,Normal,Overcast,30
382,0,Normal,Partly Cloudy,60
383,0,Normal,Clear,0
384,0,Normal,Clear,0
385,0,Normal,Clear,0
386,0,Normal,Clear,0
387,0,Normal,Clear,170
388,0,Normal,Clear,0
389,0,Normal,Clear,160
390,0,Normal,Clear,160
391,0,Normal,Clear,170
392,0,Normal,Clear,170
393,0,Normal,Clear,160
394,0,Normal,Overcast,180
395,0,Normal,Mostly Cloudy,60
396,0,Normal,Overcast,0
397,0,Normal,Mostly Cloudy,60
398,0,Normal,Overcast,60
399,0,Rain,Light Rain,70
400,0.01,Rain,Rain,100
401,0.01,Rain,Rain,60
402,0.02,Rain,Rain,80
403,0.06,Rain,Rain,70
404,0.08,Rain,Rain,70
405,0.12,Rain,Light Rain,60
406,0.12,Rain,Light Rain,60
407,0.02,Rain,Light Rain,60
408,0.04,Rain,Light Rain,0
409,0.01,Normal,Mostly Cloudy,0
410,0.01,Rain,Light Rain,300
411,0.02,Rain,Light Rain,0
412,0.01,Rain,Light Rain,0
413,0.01,Rain,Light Rain,0
414,0.01,Normal,Overcast,0
415,0.01,Normal,Overcast,0
416,0,Normal,Overcast,290
417,0,Normal,Overcast,310
418,0,Normal,Overcast,290
419,0,Normal,Overcast,290
420,0,Normal,Scattered Clouds,290
421,0,Normal,Partly Cloudy,0
422,0,Normal,Overcast,290
423,0,Normal,Overcast,0
424,0,Normal,Overcast,290
425,0,Normal,Overcast,290
426,0,Normal,Overcast,300
427,0,Normal,Overcast,0
428,0,Normal,Overcast,0
429,0,Normal,Overcast,280
430,0,Normal,Scattered Clouds,0
431,0,Normal,Overcast,280
432,0,Normal,Overcast,280
433,0,Normal,Overcast,270
434,0,Normal,Overcast,310
435,0,Normal,Overcast,300
436,0,Normal,Overcast,300
437,0,Normal,Overcast,0
438,0,Normal,Overcast,300
439,0,Normal,Overcast,0
440,0,Normal,Overcast,0
441,0,Normal,Partly Cloudy,0
442,0,Normal,Clear,330
443,0,Normal,Clear,10
444,0,Normal,Clear,20
445,0,Normal,Clear,60
446,0,Normal,Clear,30
447,0,Normal,Partly Cloudy,60
448,0,Normal,Overcast,0
449,0,Normal,Overcast,0
450,0,Normal,Overcast,10
451,0,Normal,Overcast,0
452,0,Snow,Light Snow,0
453,0.02,Fog-Snow,Snow,0
454,0.02,Snow,Light Snow,0
455,0,Snow,Light Snow,0
456,0.01,Snow,Light Snow,60
457,0.01,Snow,Light Snow,360
458,0,Snow,Light Snow,0
459,0,Normal,Overcast,0
460,0,Normal,Overcast,0
461,0,Normal,Overcast,310
462,0,Normal,Mostly Cloudy,0
463,0,Normal,Scattered Clouds,0
464,0,Normal,Clear,290
465,0,Normal,Overcast,0
466,0,Normal,Overcast,0
467,0,Normal,Clear,0
468,0,Normal,Clear,0
469,0,Normal,Clear,0
470,0,Normal,Clear,280
471,0,Normal,Partly Cloudy,290
