player_id,first_name,last_name,"flag_code	",birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand,fullname
bc14,Marin,Bradaric,CRO,1985,9,5,0,0,0,0,0,Marin Bradaric
bc36,Gregoire,Burquier,FRA,1984,7,8,0,0,0,Left-Handed,One-Handed Backhand,Gregoire Burquier
bc35,Eric,Butorac,USA,1981,5,22,2003,82,191,0,0,Eric Butorac
bc62,Enrico,Burzi,ITA,1981,1,14,0,76,178,0,0,Enrico Burzi
bc65,Matthias,Bachinger,GER,1987,4,2,2005,83,188,0,0,Matthias Bachinger
bc71,Jonas,Berg,SWE,1984,5,16,0,0,0,0,0,Jonas Berg
bc68,Philip,Bester,CAN,1988,10,6,2006,79,188,Right-Handed,One-Handed Backhand,Philip Bester
bc72,Daniel,Brands,GER,1987,7,17,2005,92,196,Right-Handed,One-Handed Backhand,Daniel Brands
bd05,Luka,Belic,CRO,1988,10,14,0,0,0,0,0,Luka Belic
bd00,Roman,Borvanov,MDA,1982,3,31,2004,80,183,0,0,Roman Borvanov
bc76,Nicolas,Barrientos,COL,1987,4,24,2009,75,175,Right-Handed,Two-Handed Backhand,Nicolas Barrientos
bd06,Roberto,Bautista Agut,ESP,1988,4,14,2005,76,183,Right-Handed,Two-Handed Backhand,Roberto Bautista Agut
bd20,Thomaz,Bellucci,BRA,1987,12,30,2005,82,188,Left-Handed,Two-Handed Backhand,Thomaz Bellucci
bd34,Stefan,Borg,SWE,1983,6,15,0,0,0,0,0,Stefan Borg
bd42,Agustin,Boje-Ordonez,ESP,1988,7,19,0,0,0,0,0,Agustin Boje-Ordonez
bd59,Carsten,Ball,AUS,1987,6,20,2005,91,198,Left-Handed,Two-Handed Backhand,Carsten Ball
bd80,Attila,Balazs,HUN,1988,12,27,0,78,180,Right-Handed,Two-Handed Backhand,Attila Balazs
bd73,Mehdi,Benhammou,MAR,1988,1,10,0,0,0,Right-Handed,Two-Handed Backhand,Mehdi Benhammou
bd82,Sergey,Betov,BLR,1987,10,15,0,74,185,0,0,Sergey Betov
bd83,Aliaksandr,Bury,BLR,1987,9,14,0,93,203,Right-Handed,One-Handed Backhand,Aliaksandr Bury
bd89,Josip,Brkic,BIH,1988,6,27,0,0,0,0,0,Josip Brkic
bd91,Denis,Bejtulahi,SRB,1987,6,1,0,87,0,0,0,Denis Bejtulahi
bd97,Saso,Bende,SLO,1986,5,24,0,70,0,0,0,Saso Bende
be04,Patrick,Briaud,USA,1983,2,6,0,0,0,0,0,Patrick Briaud
be03,Maxime,Bonami,FRA,1983,11,12,0,0,0,0,0,Maxime Bonami
be19,Alex,Bartlett,USA,1987,11,13,0,0,0,0,0,Alex Bartlett
be10,Matt,Bruch,USA,1987,7,6,0,68,0,0,0,Matt Bruch
be44,Jose Daniel,Bendeck,COL,1990,12,24,0,76,183,Right-Handed,Two-Handed Backhand,Jose Daniel Bendeck
be54,Ruben,Bemelmans,BEL,1988,1,14,2006,75,183,Left-Handed,Two-Handed Backhand,Ruben Bemelmans
be64,Mohammed-Faizal,Bin Othman,MAS,1983,2,19,0,0,0,0,0,Mohammed-Faizal Bin Othman
be59,Kanagaraj,Balakrishnan,MAS,1988,1,18,0,0,0,0,0,Kanagaraj Balakrishnan
be67,Mirza,Basic,BIH,1991,7,12,2012,88,188,Right-Handed,Two-Handed Backhand,Mirza Basic
be68,Tomislav,Brkic,BIH,1990,3,9,2008,80,185,Right-Handed,Two-Handed Backhand,Tomislav Brkic
be77,Carl,Bergman,SWE,1987,10,10,0,0,0,0,0,Carl Bergman
be69,Yan,Bai,CHN,1989,5,21,0,80,185,Right-Handed,Two-Handed Backhand,Yan Bai
be81,Alen,Bisevac,AUT,1989,2,17,0,0,0,0,0,Alen Bisevac
be83,Kevin,Botti,FRA,1989,1,14,0,0,0,0,0,Kevin Botti
be90,Ricardas,Berankis,LTU,1990,6,21,2007,70,175,Right-Handed,Two-Handed Backhand,Ricardas Berankis
be93,Chase,Buchanan,USA,1991,6,4,0,79,193,0,0,Chase Buchanan
be95,Dmytro,Badanov,UKR,1988,1,19,0,65,185,0,0,Dmytro Badanov
bf01,Lewis,Barnes,GBR,1990,5,12,0,0,0,0,0,Lewis Barnes
bf12,Pascal,Brunner,AUT,1989,6,11,0,75,180,Right-Handed,One-Handed Backhand,Pascal Brunner
bf02,Philippe,Brand,NED,1988,4,6,0,0,0,0,0,Philippe Brand
bf13,Marko,Boskovic,SRB,1991,9,25,0,0,0,0,0,Marko Boskovic
bf17,Devin,Britton,USA,1991,3,17,2009,84,193,Right-Handed,Two-Handed Backhand,Devin Britton
bf23,Facundo,Bagnis,ARG,1990,2,27,2008,82,183,Left-Handed,Two-Handed Backhand,Facundo Bagnis
bf27,Adrien,Bossel,SUI,1986,12,28,0,0,0,0,0,Adrien Bossel
bf25,Ilya,Belyaev,RUS,1990,8,9,2005,79,180,Right-Handed,Two-Handed Backhand,Ilya Belyaev
bf34,Boris Nicola,Bakalov,BUL,1980,11,23,0,75,183,Left-Handed,One-Handed Backhand,Boris Nicola Bakalov
bf28,Ante,Bilic,CRO,1989,3,7,0,0,0,0,0,Ante Bilic
bf45,Charles-Antoine,Brezac,FRA,1985,9,17,0,0,0,0,0,Charles-Antoine Brezac
bf41,Jesper,Brunstrom,SWE,1987,2,17,0,0,0,0,0,Jesper Brunstrom
bf55,Yuki,Bhambri,IND,1992,7,4,2008,77,183,Right-Handed,Two-Handed Backhand,Yuki Bhambri
bf49,Edward,Bourchier,AUS,1988,11,14,0,81,188,Right-Handed,Two-Handed Backhand,Edward Bourchier
bf60,Saad,Benkirane,MAR,1989,4,26,0,0,0,0,0,Saad Benkirane
bf71,David,Barclay,AUS,1990,9,6,0,0,0,0,0,David Barclay
bf72,Andre,Baran,BRA,1991,2,14,0,0,0,0,0,Andre Baran
bf76,Clint,Bowles,USA,1988,11,16,0,70,173,0,0,Clint Bowles
bf83,Pascal,Benz,GER,1990,1,12,0,0,0,0,0,Pascal Benz
bf82,Jan,Blecha,CZE,1989,3,18,0,0,0,0,0,Jan Blecha
bf89,Dennis,Bloemke,GER,1989,7,23,0,0,0,Right-Handed,Two-Handed Backhand,Dennis Bloemke
bf94,Pongsatorn,Benjamas,THA,1989,4,5,0,0,0,0,0,Pongsatorn Benjamas
bf96,Roy,Bruggeling,NED,1989,8,1,0,0,0,0,0,Roy Bruggeling
bf95,William,Boe-Wiegaard,USA,1983,11,9,2011,83,183,Right-Handed,Two-Handed Backhand,William Boe-Wiegaard
bf98,Alessandro,Bega,ITA,1991,1,11,0,68,173,Right-Handed,Two-Handed Backhand,Alessandro Bega
bg06,Miles,Bugby,GBR,1986,12,7,0,0,0,0,0,Miles Bugby
bg16,Daniel,Berta,SWE,1992,11,26,0,0,178,Right-Handed,Two-Handed Backhand,Daniel Berta
bg08,Moritz,Baumann,GER,1987,5,9,0,83,188,0,0,Moritz Baumann
bg32,Mikolaj,Borkowski,POL,1987,11,5,0,0,0,0,0,Mikolaj Borkowski
bg23,Nikoloz,Basilashvili,GEO,1992,2,23,2008,79,185,Right-Handed,Two-Handed Backhand,Nikoloz Basilashvili
bg41,Andraz,Bedene,SLO,1989,7,18,0,0,0,0,0,Andraz Bedene
bg48,Patrik,Brydolf,SWE,1991,11,27,0,0,0,0,0,Patrik Brydolf
bg52,Jaan-Frederik,Brunken,FIN,1990,4,26,0,0,0,0,0,Jaan-Frederik Brunken
bg63,Richard,Becker,GER,1991,1,29,0,0,0,0,0,Richard Becker
bh00,Olivier,Borsos,HUN,1990,9,16,0,0,0,0,0,Olivier Borsos
bh04,Sean,Berman,USA,1993,1,8,0,0,0,0,0,Sean Berman
bh02,Sekou,Bangoura,USA,1991,11,18,2011,77,183,Right-Handed,Two-Handed Backhand,Sekou Bangoura
bh08,Marco,Bortolotti,ITA,1991,1,21,0,72,175,Right-Handed,Two-Handed Backhand,Marco Bortolotti
bh22,Sam,Barry,IRL,1992,1,27,2011,83,191,Right-Handed,Two-Handed Backhand,Sam Barry
bh09,Aljaz,Bedene,GBR,1989,7,18,2008,72,183,Right-Handed,Two-Handed Backhand,Aljaz Bedene
bh36,Brian,Brogan,USA,1986,12,4,0,0,0,0,0,Brian Brogan
bh64,Arthur,Beavis,USA,1987,1,7,0,0,0,0,0,Arthur Beavis
bh51,Pedro,Bernardi,BRA,1991,4,16,0,90,198,Right-Handed,Two-Handed Backhand,Pedro Bernardi
bh66,Mikhail,Biryukov,RUS,1992,4,28,0,0,0,0,0,Mikhail Biryukov
bh76,Riccardo,Bellotti,ITA,1991,8,5,0,0,0,Right-Handed,Two-Handed Backhand,Riccardo Bellotti
bh74,Mikhail,Balmashev,RUS,1990,8,5,0,0,0,0,0,Mikhail Balmashev
