comment_count,heat,likes,tags,year,month,weekday,hour,createtime
27,8255,8228,['NittoATPFinals'],2018,2,4,14,2018-02-01 14:00:11
38,28774,28736,"['champion', 'tennis', 'Switzerland', 'ATP', 'AusOpen', 'Federer']",2018,2,4,11,2018-02-01 11:28:01
64,33299,33235,"['champion', 'weekend', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,3,16,2018-01-31 16:10:42
238,5665,5427,"['tennis', 'iphone', 'ATP', 'animoji']",2018,1,2,17,2018-01-30 17:06:24
32,9648,9616,"['tennis', 'NittoATPFinals', 'London', 'ATP']",2018,1,2,15,2018-01-30 15:43:39
60,17169,17109,"['tennis', 'kyrgios', 'atp', 'ausopen', 'charity']",2018,1,2,9,2018-01-30 09:33:07
169,73646,73477,"['tennis', 'AusOpen', 'atp', 'federer']",2018,1,0,23,2018-01-28 23:37:39
76,49078,49002,"['tennis', 'AusOpen', 'atp', 'federer']",2018,1,0,17,2018-01-28 17:10:54
531,49815,49284,"['chrishemsworth', 'CaptionThis', 'thor', 'atp', 'ausopen', 'tennis', 'federer']",2018,1,0,11,2018-01-28 11:32:09
211,75585,75374,"['moetchandon', 'bts', 'celebration', 'behindthescenes', 'atp', 'ausopen', 'tennis', 'federer', 'MoetMoment']",2018,1,0,10,2018-01-28 10:46:11
88,46362,46274,"['bts', 'behindthescenes', 'atp', 'ausopen', 'squadgoals', 'tennis', 'ljubicic', 'severinluthi', 'federer']",2018,1,0,10,2018-01-28 10:16:26
445,62363,61918,"['atp', 'ausopen', 'Repost', 'tennis', 'federer', 'speech']",2018,1,0,9,2018-01-28 09:41:20
8,10378,10370,"['dabrowski', 'doubles', 'atp', 'ausopen', 'pavic', 'tennis']",2018,1,0,9,2018-01-28 09:38:00
113,48484,48371,[],2018,1,0,9,2018-01-28 09:25:54
946,130085,129139,"['RelationshipGoals', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,0,8,2018-01-28 08:51:55
78,43075,42997,"['tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,0,8,2018-01-28 08:34:10
183,52196,52013,"['Cilic', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,0,8,2018-01-28 08:08:07
165,59581,59416,"['20', 'normaniscominghome', 'Repost', 'ausopen', 'AusOpen']",2018,1,0,7,2018-01-28 07:30:36
237,82069,81832,"['champion', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,0,7,2018-01-28 07:13:23
695,113723,113028,[],2018,1,0,6,2018-01-28 06:51:29
203,54871,54668,"['ausopen', 'Repost']",2018,1,6,9,2018-01-27 09:21:35
31,11527,11496,"['pavic', 'atp', 'ausopen', 'tennis', 'marach']",2018,1,6,9,2018-01-27 09:18:16
72,18445,18373,"['tennis', 'korda', 'ausopen']",2018,1,5,23,2018-01-26 23:39:48
79,15468,15389,"['atpchallenger', 'newport', 'tweener', 'atp', 'hotshot', 'tennis']",2018,1,5,11,2018-01-26 11:47:01
270,36009,35739,"['cilic', 'atp', 'ausopen', 'tennis', 'finalists', 'federer']",2018,1,5,10,2018-01-26 10:46:13
120,34240,34120,"['Chung', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,5,6,2018-01-26 06:02:14
204,46786,46582,"['AustraliaDay', 'tennis', 'ATP', 'AusOpen', 'Federer']",2018,1,5,5,2018-01-26 05:43:40
92,14476,14384,"['atp', 'ausopen', 'preview', 'tennis', 'chung', 'federer']",2018,1,4,17,2018-01-25 17:06:12
142,36301,36159,"['ThrowbackThursday', 'tbt', 'atp', 'ausopen', 'tennis', 'federer']",2018,1,4,12,2018-01-25 12:43:12
15,14159,14144,"['travel', 'australia', 'melbourne', 'atp', 'ausopen', 'tennis', 'views', 'sunset']",2018,1,4,12,2018-01-25 12:00:32
40,11752,11712,"['victory', 'farah', 'cabal', 'celebration', 'doubles', 'pavic', 'atp', 'ausopen', 'tennis', 'marach', 'finalists']",2018,1,4,10,2018-01-25 10:16:13
13,12853,12840,"['tennis', 'edmund', 'atp', 'ausopen']",2018,1,4,7,2018-01-25 07:06:21
49,14401,14352,"['tennis', 'cilic', 'atp', 'ausopen']",2018,1,4,6,2018-01-25 06:59:52
73,16502,16429,"['tennis', 'ATP', 'ausopen', 'Cilic']",2018,1,4,6,2018-01-25 06:25:30
32,10122,10090,"['tennis', 'Chung', 'ATP', 'AusOpen']",2018,1,4,5,2018-01-25 05:04:30
