twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
131,2018-04-08 03:32:18,RT @blacq2: Nishikori withdraws from Australian Open (Reuters) - Japan's Kei Nishikori https://t.co/0DqCwTgS0D #martialarts #2snapchat @sil…,1464643573,"Teruel, Aragón",martialarts,https://t.co/0DqCwTgS0D,Kei Nishikori,1,0,3,6,8
132,2018-04-08 03:28:24,Nishikori withdraws from Australian Open (Reuters) - Japan's Kei Nishikori https://t.co/0DqCwTgS0D #martialarts #2snapchat @silewconsulting,56246250,United States,martialarts,https://t.co/0DqCwTgS0D,Kei Nishikori,1,0,3,6,8
91,2018-04-08 02:46:04,"?Team USA into #DavisCup SFs! Thanks to the doubles win by Ryan Harrison &amp; Jack Sock, Team USA clinched the Davis C… https://t.co/lX0P7S3ckh",1469717778,,DavisCup,https://t.co/lX0P7S3ckh,Jack Sock,0,0,2,6,8
92,2018-04-08 02:43:36,USA ?? are the first team into the #DavisCup semi-finals in 2018 after Jack Sock and Ryan Harrison won Saturday's d… https://t.co/RP3RCoHZVm,42869268,Tennis!,DavisCup,https://t.co/RP3RCoHZVm,Jack Sock,3,5,2,6,8
93,2018-04-08 02:22:56,"#Tenis ? | Por los cuartos de final de la #CopaDavis, Jack Sock y Ryan Harrison derrotaron por 5-7, 7-6(1), 7-6(3)… https://t.co/x7b9QbdwfH",3497278409,FM La Patriada,Tenis,https://t.co/x7b9QbdwfH,Jack Sock,0,0,2,6,8
94,2018-04-08 02:12:46,#CopaDavis ¡A semifinales! #EstadosUnidos cerró la serie ante #Bélgica con el triunfo de Jack Sock y Ryan Harrison… https://t.co/5Tq68QOmKa,48245440,,CopaDavis,https://t.co/5Tq68QOmKa,Jack Sock,8,29,2,6,8
95,2018-04-08 01:52:05,"A doubles win by Ryan Harrison and Jack Sock clinched the #DavisCup tie for Team USA 3-0 over Belgium, and secured… https://t.co/3nRkbLxfny",71432253,"Seminole, Florida",DavisCup,https://t.co/3nRkbLxfny,Jack Sock,1,1,1,6,8
96,2018-04-08 01:04:35,"Quart de finale USA/Belgique de #DavisCup 3/0, double: Ryan Harrison/Jack Sock battent Sander GILLE/Jordan VLIEGEN… https://t.co/H3TXYGdhK7",211475875,,DavisCup,https://t.co/H3TXYGdhK7,Jack Sock,3,4,1,6,8
97,2018-04-08 00:40:25,#CopaDavis | QF: Jack Sock y Ryan Harrison vencieron a los belgas Sander Gilles y Joran Vlieng 5-7 7-6(1) 7-6(3) 6-… https://t.co/RaKnzEH8lU,827042506802069504,,CopaDavis,https://t.co/RaKnzEH8lU,Jack Sock,0,0,24,6,8
98,2018-04-08 00:31:45,#CopaDavis | QF: Jack Sock y Ryan Harrison vencieron a los belgas Sander Gilles y Joran Vlieng 5-7 7-6(1) 7-6(3) 6-… https://t.co/idtMs4xYKU,4886997329,Ciudad Autónoma de Buenos Aire,CopaDavis,https://t.co/idtMs4xYKU,Jack Sock,0,1,24,6,8
99,2018-04-08 00:12:08,Ryan Harrison and Jack Sock clinch 3-0 win over Belgium in front of a very spirited #DavisCup crowd in Nashville to… https://t.co/pbZabx8U0G,27678661,New York,DavisCup,https://t.co/pbZabx8U0G,Jack Sock,2,2,24,6,8
100,2018-04-07 23:32:23,"Tennis Watch - Davis Cup, Jack Sock #SockWinnerSpeeds, WOW! #JMCVsports  #JMCVdaily #SportsDaily #SportsJunkie… https://t.co/hioGvN15kr",3061460756,,SockWinnerSpeeds,https://t.co/hioGvN15kr,Jack Sock,0,0,23,6,7
101,2018-04-07 20:50:56,".@JohnIsner, Sam Querrey put U.S. on verge of #DavisCup semifinal berth: https://t.co/8NEqgIxQ8s
#Tennis",3374876560,"Hallandale Beach, FL",DavisCup,https://t.co/8NEqgIxQ8s,Sam Querrey,0,1,20,6,7
84,2018-04-07 17:58:54,"Kevin ""O-Dog"" Anderson @larenztate #MenaceIISociety #ODog #Menace2Society #LarenzTate #Watts… https://t.co/T8dXEe9WuR",775912933,Somewhere Making Change,MenaceIISociety,https://t.co/T8dXEe9WuR,Kevin Anderson,0,0,17,6,7
77,2018-04-07 15:21:38,"#CoupeDavis : après avoir remporté le point du double, le 317e mondial Jürgen #Melzer, qu'on croyait à la retraite,… https://t.co/8wfoqUgq6y",881942460041220097,,CoupeDavis,https://t.co/8wfoqUgq6y,Dominic Thiem,0,0,15,0,7
66,2018-04-07 15:19:58,Dimitrov and Cilic to play at Queen's LONDON (Reuters) - Bulgarian Grigor https://t.co/3EGhSSSsDQ #martialarts #2snapchat @silewconsulting,56246250,United States,martialarts,https://t.co/3EGhSSSsDQ,Grigor Dimitrov,0,0,15,5,7
102,2018-04-07 14:47:00,"UNBELIEVABLE #RogerFederer is able to hit shots that do not exist in tennis' book - says Sam Querrey.
https://t.co/yhJ6SndS4e",848003961810542592,,RogerFederer,https://t.co/yhJ6SndS4e,Sam Querrey,3,15,14,6,7
